"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Mopalia spectabilis","I.M. Cowan & G.M. Cowan, 1977","","red-flecked mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","spectabilis",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1999-05-04","Andy Lamb","PMLS","",NA,"2016-05-25","Karolle Wall","iNat:4052033","",364026,"MOL"
"Mopalia swanii","Carpenter, 1864","","Swan's mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","swanii",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1986-09-30","","RBCM","986-00197-071",NA,"2021-12-05","Andrew Simon","iNat:102592160","",339904,"MOL"
"Mopalia vespertina","(Gould, 1852)","","smooth mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","vespertina",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-04-20","Ian Mc Taggart-Cowan","RBCM","988-00095-001",NA,"2017-05-26","Kris Krüg","iNat:6390299","",364027,"MOL"
"Musculus discors","(Linnaeus, 1767)","","discord mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Musculinae","","Musculus","discors",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00346",1898284913,"","","","",482998,"MOL"
"Musculus niger","(J.E. Gray, 1824)","","black mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae ","Musculinae","","Musculus","niger",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00347",1898295371,"","","","",483000,"MOL"
"Mya arenaria","Linnaeus, 1758","","soft-shelled clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Myida","","Myoidea","Myidae","","","Mya","arenaria",NA,"",NA,"non-native","unlisted",NA,"new 2016","observed","","","","",NA,"2016-08-17","Andrew Simon","iNat:3910084","",81634,"MOL"
"Mya truncata","Linnaeus, 1758","","truncated softshell-clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Myida","","Myoidea","Myidae","","","Mya","truncata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2008-04-27","Andy Lamb","PMLS","",NA,"","","","",447416,"MOL"
"Myosotella myosotis","(Draparnaud, 1801)","","mouse-eared snail","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Eupulmonata","Ellobiida","","Ellobioidea","Ellobiidae","Pythiinae","","Myosotella","myosotis",NA,"",NA,"non-native","unlisted",NA,"new 2016","observed","","","","",NA,"2016-09-01","Andrew Simon","iNat:4017005","",225386,"MOL"
"Mytilimeria nuttalli","Conrad, 1837","","bladderclam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","","Mytilimeria","nuttalli",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-07-29","Andy Lamb","PMLS","",NA,"","","","",873896,"MOL"
"Mytilus edulis complex","","","blue mussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Mytilinae","","Mytilus","edulis",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1982-05-28","Philip Lambert","RBCM","982-00155-001",1898293540,"2015-08-05","Andrew Simon","iNat:2599512","",62807,"MOL"
"Nassarius mendicus","(Gould, 1850)","","western lean nassa","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Nassariidae","Nassariinae","","Nassarius","mendicus",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2018-06-19","Andy Lamb","PMLS","",NA,"2021-03-13","Andrew Simon","iNat:71173034","",129938,"MOL"
"Neostylidium eschrichtii","(Middendorff, 1849)","","threaded bittium","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neotaenioglossa","","Cerithioidea","Cerithiidae","","","Neostylidium","eschrichtii",NA,"",NA,"native","unlisted",NA,"new 2015","observed","","","","",NA,"2015-08-28","Lauren Magner & Andrew Simon","iNat:3735167","",448152,"MOL"
"Neverita lewisii","(Gould, 1847)","","Lewis' moon snail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Naticoidea","Naticidae","Polinicinae","","Neverita","lewisii",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1961-06-23","","RBCM","976-01146-004",1898263889,"2016-02-07","Peter Luckham","iNat:2763410","",447427,"MOL"
"Nitidella sp.","","","","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Nitidella","",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-023",1898311887,"","","","",246721,"MOL"
"Nucella canaliculata","(Duclos, 1832)","","channelled dogwinkle","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Ocenebrinae","","Nucella","canaliculata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1994-10-23","Andy Lamb","PMLS","",NA,"","","","",69998,"MOL"
"Nucella lamellosa","(Gmelin, 1791)","","wrinkled dogwinkle","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Ocenebrinae","","Nucella","lamellosa",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03331",1898271380,"2015-04-04","Andrew Simon","iNat:2567596","",117641,"MOL"
"Nucella ostrina","(Gould, 1852)","","northern striped dogwinkle","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Ocenebrinae","","Nucella","ostrina",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2008-02-17","Andy Lamb","PMLS","",NA,"2019-04-29","Andrew Simon","iNat:24768141","",122704,"MOL"
"Nuculana leonina","(Dall, 1896)","","nuculanid clam","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Nuculanidae","Nuculaninae","","Nuculana","leonina",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03316",1898319922,"","","","",957348,"MOL"
"Nuttallia obscurata","(Reeve, 1857)","","purple mahogany clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Psammobiidae","","","Nuttallia","obscurata",NA,"",NA,"non-native","unlisted",NA,"new 2016","observed","","","","",NA,"2016-08-21","Tyrel Froese","iNat:4005286","",430211,"MOL"
"Octopus rubescens","Berry, 1953","","Pacific red octopus","Animalia","Mollusca","","","Cephalopoda","Coleoidea","Octopodiformes","Octopoda","Incirrata","Octopodoidea","Octopodidae","","","Octopus","rubescens",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1995-02-25","Charlie Gibbs","PMLS","",NA,"","","","",47455,"MOL"
"Odostomia sp.","","","sea snail","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Pylopulmonata","","","Pyramidelloidea","Pyramidellidae","","","Odostomia","",NA,"",NA,"","",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03329",1898323195,"","","","",129939,"MOL"
"Oenopota sp.","","","","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Conoidea","Mangeliidae","","","Oenopota","",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-022",1898294888,"","","","",496394,"MOL"
"Onchidoris bilamellata","(Linnaeus, 1767)","","barnacle-eating nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Onchidoris","bilamellata",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2006-06-23","Andy Lamb","PMLS","",NA,"2009-06-26","Karolle Wall","iNat:97178772","",47480,"MOL"
"Onchidoris evincta","(Millen, 2006)","","crowned dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Onchidoris","evincta",NA,"",NA,"native","unlisted",NA,"new 2014","observed","","","","",NA,"2014-04-08","Karin Fletcher","iNat:68793025","",897911,"MOL"
"Onchidoris muricata","(O. F. Müller, 1776)","","fuzzy onchidoris","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Onchidorididae","","","Onchidoris","muricata",NA,"",NA,"native","unlisted",NA,"new 2014","observed","","","","",NA,"2014-04-09","Karin Fletcher","iNat:68793507","",47508,"MOL"
"Ophiodermella fancherae","(Dall, 1903)","","sea snail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Conoidea","Borsoniidae","","","Ophiodermella","fancherae",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03326",1898295480,"","","","",957347,"MOL"
"Paciocinebrina interfossa","(Carpenter, 1864)","","sculptured rocksnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Ocenebrinae","","Paciocinebrina","interfossa",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2009-10-10","Andy Lamb","PMLS","",NA,"","","","",910801,"MOL"
"Paciocinebrina lurida","(Middendorff, 1848)","","lurid rocksnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Ocenebrinae","","Paciocinebrina","lurida",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1994-09-10","Andy Lamb","PMLS","",NA,"","","","",910800,"MOL"
"Palio zosterae","(O'Donoghue, 1924)","","eelgrass nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Polyceroidea","Polyceridae","Polycerinae","","Palio","zosterae",NA,"",NA,"native","unlisted",NA,"new 2010","observed","","","","",NA,"2010-05-10","Karolle Wall","iNat:3707748","",501581,"MOL"
"Pandora filosa","(Carpenter, 1864)","","threaded pandora","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Pandoridae","","","Pandora","filosa",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03302",NA,"","","","",906400,"MOL"
"Pandora wardiana","A. Adams, 1860","","giant pandora","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Pandoridae","","","Pandora","wardiana",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03301",NA,"","","","",906421,"MOL"
"Panomya ampla","Dall, 1898","","ample roughmya","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Adapedonta","","Hiatelloidea","Hiatellidae","","","Panomya","ampla",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00316",1898318849,"","","","",865774,"MOL"
"Panopea generosa","(Gould, 1850)","","Pacific geoduck","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Adapedonta","","Hiatelloidea","Hiatellidae","","","Panopea","generosa",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1994-10-23","Andy Lamb","PMLS","",NA,"2019-05-04","Isabelle M. Côté","iNat:24792030","",117618,"MOL"
"Parvilucina tenuisculpta","(Carpenter, 1864)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Lucinida","","Lucinoidea","Lucinidae","Lucininae","","Parvilucina","tenuisculpta",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-005",1898273623,"","","","",493882,"MOL"
"Patinopecten caurinus","(Gould, 1850)","","giant Pacific sea scallop","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Pectinidae","","","Patinopecten","caurinus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03311",1898283425,"","","","",203116,"MOL"
"Peltodoris lentiginosa","(Millen, 1982)","","freckled pale sea lemon","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Discodorididae","","","Peltodoris","lentiginosa",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2006-03-05","Andy Lamb","PMLS","",NA,"2009-10-03","Jackson W.F. Chu","iNat:8624729","",513834,"MOL"
"Peltodoris nobilis","(MacFarland, 1905)","","noble sea lemon","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Discodorididae","","","Peltodoris","nobilis",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",NA,"2009-11-14","Karin Fletcher","iNat:68751134","",48450,"MOL"
"Petaloconchus compactus","(P. P. Carpenter, 1864)","","northern compact wormsnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Vermetoidea","Vermetidae","","","Petaloconchus","compactus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-12-07","Andy Lamb","PMLS","",NA,"","","","",883089,"MOL"
"Philine auriformis","","","","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Philinidae","Philininae","","Philine","auriformis",NA,"",NA,"","",NA,"new 2018","observed","","","","",NA,"2018-03-11","linddealy","iNat:42044026","Notable report",49854,"MOL"
"Phyllaplysia taylori","Dall, 1900","","zebra leafslug","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Aplysiida","","Aplysioidea","Aplysiidae","","","Phyllaplysia","taylori",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2015-05-18","Karolle Wall","iNat:97172674","",49864,"MOL"
"Placiphorella rufa","Berry, 1917","","red veiled-chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Placiphorella","rufa",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2006-11-18","Andy Lamb","PMLS","",NA,"","","","",547332,"MOL"
"Placiphorella velata","(M.S. Carpenter, Dall, 1879)","","veiled-chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Placiphorella","velata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2011-11-18","Andy Lamb","PMLS","",NA,"","","","",55354,"MOL"
"Planorbella trivolvis","(Say, 1817)","","marsh ramshorn","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Hygrophila","","","Lymnaeoidea","Planorbidae","Planorbinae","Helisomatini","Planorbella","trivolvis",NA,"",NA,"native","SU (2015)",NA,"new 2016","observed","","","","",NA,"2016-08-14","Andrew Simon","iNat:3890687","",150985,"MOL"
"Pododesmus macrochisma","(Deshayes, 1839)","","green false-jingle","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Anomiidae","","","Pododesmus","macrochisma",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1986-04-08","","RBCM","986-00191-016",NA,"2016-04-06","Karolle Wall","iNat:4052032","",68652,"MOL"
"Puncturella cucullata","(Gould, 1846)","","hooded puncturella","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Lepetellida","","Fissurelloidea","Fissurellidae","","","Puncturella","cucullata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1986-09-30","","RBCM","986-00197-038",NA,"","","","",904312,"MOL"
"Rhabdus rectius","(Carpenter, 1864)","","straight tuskshell","Animalia","Mollusca","","","Scaphopoda","","","Dentaliida","","","Rhabdidae","","","Rhabdus","rectius",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","976-01146-005",1898302624,"","","","",957345,"MOL"
"Rictaxis punctocaelatus","(Carpenter, 1864)","","bubble snail","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","","","Acteonoidea","Acteonidae","","","Rictaxis","punctocaelatus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03322",1898323409,"","","","",49779,"MOL"
"Rossia pacifica","Berry, 1911","","stubby squid","Animalia","Mollusca","","","Cephalopoda","Coleoidea","Decapodiformes","Sepiida","","","Sepiolidae","Rossiinae","","Rossia","pacifica",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1994-02-27","Charlie Gibbs","PMLS","",NA,"","","","",151358,"MOL"
"Rostanga pulchra","MacFarland, 1905","","red sponge nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Discodorididae","","","Rostanga","pulchra",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2014-04-08","Karin Fletcher","iNat:68751957","",47473,"MOL"
"Ruditapes philippinarum","(Adams & Reeve, 1850)","","Japanese littleneck","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","","","Ruditapes","philippinarum",NA,"",NA,"non-native","unlisted",NA,"new 2016","observed","","","","",NA,"2016-08-21","Tyrel Froese","iNat:4004964","",343269,"MOL"
"Saxidomus gigantea","(Deshayes, 1839)","","Washington butter clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","","","Saxidomus","gigantea",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2006-06-23","Andy Lamb","PMLS","",NA,"2016-08-17","Andrew Simon","iNat:3910100","",130233,"MOL"
"Scabrotrophon maltzani","(Kobelt, 1878)","","sandpaper trophon","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Trophoninae","","Scabrotrophon","maltzani",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-12-07","Andy Lamb","PMLS","",NA,"","","","",500269,"MOL"
"Semele rubropicta","Dall, 1871","","rose-painted clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Semelidae","","","Semele","rubropicta",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1999-05-05","Andy Lamb","PMLS","",NA,"","","","",371110,"MOL"
"Solen sicarius","Gould, 1850","","sickle jackknife-clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Adapedonta","","Solenoidea","Solenidae","","","Solen","sicarius",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2007-12-09","Andy Lamb","PMLS","",NA,"","","","",54529,"MOL"
"Stagnicola sp.","","","pond snail","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Hygrophila","","","Lymnaeoidea","Lymnaeidae","Lymnaeinae","","Stagnicola","",NA,"",NA,"","",NA,"new 2016","observed","","","","",NA,"2016-07-13","Andrew Simon","iNat:3680865","",92192,"MOL"
"Tegula funebralis","(A. Adams, 1855)","","black tegula","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Trochida","","Trochoidea","Tegulidae","","","Tegula","funebralis",NA,"",NA,"native","unlisted",NA,"new 2019","observed","","","","",NA,"2019-05-05","John D Reynolds","iNat:25595362","",460365,"MOL"
"Thracia trapezoides","Conrad, 1849","","trapezoid thracia","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Thracioidea","Thraciidae","","","Thracia","trapezoides",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03313",1898304696,"","","","",957343,"MOL"
"Tochuina gigantea","(Bergh, 1904)","","orange-peel nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Tritonioidea","Tritoniidae","","","Tochuina","gigantea",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",NA,"2009-10-03","Jackson W.F. Chu","iNat:59920054","",873733,"MOL"
"Tonicella cf. undocaerulea","","","blue lined chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Tonicellidae","Tonicellinae","","Tonicella","undocaerulea",NA,"",NA,"","",NA,"new 2015","observed","","","","",NA,"2015-09-25","Karolle Wall","iNat:4031847","",194021,"MOL"
"Tonicella insignis","(Reeve, 1847)","","white-line chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Tonicellidae","Tonicellinae","","Tonicella","insignis",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-06-14","Philip Lambert","RBCM","973-00137-004",1898274711,"2019-05-04","Isabelle M. Côté","iNat:129284396","",498132,"MOL"
"Tonicella lineata","(Wood, 1815)","","lined chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Tonicellidae","Tonicellinae","","Tonicella","lineata",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1995-01-17","Robert Forsyth & Tammy Forsyth","RBCM","002-00070-003",1898301747,"2016-06-06","Chessi Miltner","iNat:3598644","",47425,"MOL"
"Tresus capax","(Gould, 1850)","","fat gaper","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Mactroidea","Mactridae","Lutrariinae","","Tresus","capax",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",NA,"2016-02-07","Peter Luckham","iNat:2763417","",126927,"MOL"
"Tresus nuttallii","(Conrad, 1837)","","Pacific gaper","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Mactroidea","Mactridae","Lutrariinae","","Tresus","nuttallii",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00317",1898324818,"2019-05-04","Emily Adamczyk","iNat:24698187","",117611,"MOL"
"Trichotropis cancellata","Hinds, 1843","","checkered hairysnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Capuloidae","Capulidae","","","Trichotropis","cancellata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",447177,"MOL"
"Triopha catalinae","(Cooper, 1863)","","","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Polyceroidea","Polyceridae","Triophinae","","Triopha","catalinae",NA,"",NA,"","",NA,"new 2016","observed","","","","",NA,"2016-05-09","Karolle Wall","iNat:3705553","",47454,"MOL"
"Triopha modesta","Bergh, 1880","","modest clown nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Polyceroidea","Polyceridae","Triophinae","","Triopha","modesta",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",NA,"2009-11-14","Karin Fletcher","iNat:68751136","",1133369,"MOL"
"Tripoplax trifida","(P. P. Carpenter, 1864)","","three-rib chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Chitonina","Chitonoidea","Ischnochitonidae","","","Tripoplax","trifida",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1999-07-31","Charlie Gibbs","PMLS","",NA,"","","","",1174737,"MOL"
"Tritonia exsulans","Bergh, 1894","","pink tritonia","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Tritonioidea","Tritoniidae","","","Tritonia","exsulans",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2006-12-02","Charlie Gibbs","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2975951","",253510,"MOL"
"Tritonia festiva","(Stearns, 1873)","","diamondback tritonia","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Tritonioidea","Tritoniidae","","","Tritonia","festiva",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2976292","",48827,"MOL"
"Trophonopsis orpheus","(Gould, 1849)","","orpheus trophon","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Muricoidea","Muricidae","Pagodulinae","","Trophonopsis","orpheus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03325",1898280329,"","","","",506559,"MOL"
"Turbonilla sp.","","","sea snail","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Pylopulmonata","","","Pyramidelloidea","Pyramidellidae","Turbonillinae","","Turbonilla","",NA,"",NA,"","",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03330",1898315600,"","","","",84989,"MOL"
"Velutina plicatilis","(O.F. Müller, 1776)","","oblique lamellaria","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","","","Velutina","plicatilis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03324",1898301017,"","","","",482348,"MOL"
"Velutina velutina","(O.F. Müller, 1776)","","spiral velvet snail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","Velutininae","","Velutina","velutina",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2008-03-07","Andy Lamb","PMLS","",NA,"","","","",482347,"MOL"
"Yoldia aeolica","Dall, 1897","","yoldia clam","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae","","","Yoldia","aeolica",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1917-06-29","","RBCM","991-00498-001",1898316827,"","","","",957342,"MOL"
"Yoldia hyperborea","(Gould, 1841)","","yoldia clam","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae","","","Yoldia","hyperborea",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03304",NA,"","","","",996928,"MOL"
"Zelentia nepunicea","Korshunova, Fletcher, Lundin, Picton & Martynov, 2018","","pimpled aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Trinchesiidae","","","Zelentia","nepunicea",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1982-05-21","Sandra Millen-Crane","RBCM","983-00026-001",1898308265,"2014-04-08","Karin Fletcher","iNat:68751823","",1128352,"MOL"
